ID,POS,Gloss,Gloss_persian,Checked
93185,adjective,"causing to feel shame or chagrin or vexation; ""the embarrassing moment when she found her petticoat down around her ankles""; ""it was mortifying to know he had heard every word""","باعث احساس شرم و ناراحتی یا آزار و اذیت؛ ""لحظه شرم آور ی که لباس زیرش را در اطراف مچ پا پیدا کرد""؛ ""دانستن اینکه او هر کلمه ای را شنیده است ترسناک بود""",t
93186,noun,a quality of extreme unpleasantness,کیفیت به شدت ناخوشایند,t
93187,noun,the quality of being unpleasant (harsh or rough or grating) to the senses,کیفیتی که احساس ناخوشایند (خشن یا زبر یا دلخراش) ایجاد میکند,t
93188,adjective,"not visited by many travelers; ""the tourist's desire to visit less-traveled countries""","توسط مسافران زیادی بازدید نشده؛ "" تمایل گردشگر برای بازدید از کشورهای کم سفر """,t
93189,adjective,"incapable of being anticipated; ""unforeseeable consequences""","غیر قابل پیش بینی؛ ""عواقب غیر قابل پیش بینی""",t
93190,adjective,not pompous,بدون زرق و برق,t
93191,adjective,"without scruples or principles; ""unscrupulous politicos who would be happy to sell...their country in order to gain power""","بدون احتیاط و اصول؛ ""سیاسیون بی وجدان که خوشحال می شوند کشورشان را بفروشند تا قدرت کسب کنند""",t
93192,adjective,"not yielding profit or recompense; ""an unremunerative occupation""","واگذار نکردن سود یا غرامت؛ ""یک شغل بدون پاداش""",t
93193,adjective,not changed in form or character,تغییر نکرده در فرم یا شخصیت,t
93194,adjective,"not open to doubt; ""she wanted to go; that was for sure""","در معرض تردید نیست؛ ""او می خواست برود ؛ از این مطمئن بود""",t
93195,adjective,"unprepared and unable to react quickly; ""the new product caught their competitors flat-footed""","نا آمادگی و عدم توانایی به نشان دادن واکنش سریع؛ ""محصول جدید رقبای خود را غافلگیر کرد""",t
93196,adjective,"not prepared or vigilant; ""the blow caught him napping""; ""caught in an off-guard moment""; ""found him off his guard""","بدون آمادگی یا هوشیاری؛ ""ضربه مچ او را در حال چرت زدن گرفت""؛ ""غافلگیر شد""؛ ""متوجه غافلگیری اش شدند""",t
93197,adjective,not fully prepared,کاملا آماده نیست,t
93198,adjective,"conceived of or imagined or hoped for; ""his dreamed symphony that would take the world of music by storm""","درک یا تصور یا امید به آن؛ ""سمفونی رویایی او که در دنیای موسیقی طوفان به پا میکند""",t
93199,adjective,"seen in the mind as a mental image; ""the glory of his envisioned future""; ""the snow-covered Alps pictured in her imagination""; ""the visualized scene lacked the ugly details of real life""","در ذهن به عنوان یک تصویر ذهنی دیده می شود؛ ""جلال آینده متصور او""؛ ""کوههای آلپ پوشیده از برف که در تصورات او به تصویر کشیده شده است""؛ ""صحنه تصویری فاقد جزئیات زشت زندگی واقعی بود""",t
93200,adjective,"creating the illusion of seeing reality; ""the visual deception of trompe-l'oeil art""","ایجاد توهمی از دیدن واقعیت؛ ""فریب بصری هنر ترامپلویی """,t
93201,adjective,"characterized by or characteristic of hallucination ; ""the bizarre hallucinatory dreams of fever""- Jean Stafford","مشخصه ی توهم؛ ""رویاهای عجیب توهم آور تب"" - ژان استفورد",t
93202,adjective,"marked by or producing illusion; ""illusionary stage effects""","مشخصه یا بوجود آورنده ی توهم؛ ""اثرات مرحله توهمی""",t
93203,adjective,"characterized by surreal distortion and a sense of impending danger; ""the kafkaesque terror of the endless interrogations""","با تحریف سورئال و احساس خطر قریب الوقوع مشخص می شود؛ ""وحشت کافکایی بازجویی های بی پایان""",t
93204,adjective,"characterized by fantastic imagery and incongruous juxtapositions; ""a great concourse of phantasmagoric shadows""--J.C.Powys; ""the incongruous imagery in surreal art and literature""","با تصاویر خارق العاده و تقابل های ناسازگار مشخص می شود؛""مکان بزرگی از سایه های خیالی"" - J.C.Powys؛ ""تصویر ناسازگار در هنر و ادبیات سورئال""",t
93205,noun,the quality possessed by something that is unreal,ویژگی چیزی غیر واقعی,t
93206,noun,"the state of being false or untrue; ""argument could not determine its truth or falsity""","حالت دروغ یا غیر واقعی بودن؛ ""استدلال نمی توانست حقیقت یا نادرستی آن را تعیین کند""",t
93207,adjective,contrary to what common sense would suggest,برخلاف آنچه عقل سلیم پیشنهاد می کند,t
93208,adjective,not converted,تبدیل نشده,t
93209,noun,"the quality of being unreproducible; ""he could not explain the irreproducibility of the results of his experiment""","ویژگی غیر قابل تولید بودن؛ ""او نمی تواند غیرقابل اصلاح بودن نتایج آزمایش خود را توضیح دهد""",t
93210,adjective,of e.g. advice,به عنوان مثال مشاوره,t
93211,adjective,"not returned in kind; ""unrequited (unanswered) love""","با مهربانی پاسخ داده نشده؛ ""عشق یک طرفه (بدون پاسخ)""",t
93212,adjective,not reciprocal,متقابل نیست,t
93213,adjective,"free of restraints or rules; ""freewheeling foolishness""; ""the versatility of his poetic freewheeling style""","بدون محدودیت و قانون""حماقت آزادانه""؛ ""تطبیق پذیری سبک آزاد و شاعرانه اش""",t
93214,adjective,"extravagant or ambitious or extreme in aims or opinions; ""they did not understand what had happend at the once highflying company""","زیاده خواه یا بلند پروازانه یا افراطی در اهداف یا نظرات؛ ""آنها نمی فهمیدند چه اتفاقی در یک شرکت زمانی بلند پرواز افتاده است""",t
93215,adjective,"not restrained or controlled; ""unbridled rage""; ""an unchecked temper""; ""ungoverned rage""","مهار یا کنترل نشده؛ ""خشم افسار گسیخته""؛ ""خوی کنترل نشده""؛ ""خشم کنترل نشده""",t
93216,adjective,"not under constraint in action or expression; ""this unbuttoned and disrespectful age""- Curtis Bok; ""unlaced behavior in the neighborhood pub""","در عمل یا بیان محدودیت نداشته باشد؛ ""این سن خودمانی و بی اعتنایی"" - کورتیس بوک ؛""رفتار غیرقانونی در میخانه محله""",t
93217,adjective,"not slowed or blocked or interfered with; ""an outlet for healthy and unhampered action""; ""a priest unhampered by scruple""; ""the new stock market was unhampered by tradition""","کند یا مسدود نشده و در آن اختلال ایجاد نشده است؛ ""راهی برای اقدام سالم و بدون مانع""؛ ""کشیشی که از روی فضل مانع او نشود""؛ ""بازار سهام جدید سنتی مانعی نداشت""",t
93218,adjective,(of long-chain carbon compounds especially fats) saturated except for one multiple bond,(از ترکیبات کربن با زنجیره طولانی به ویژه چربی ها) به جز یک پیوند چندگانه اشباع شده,t
93219,adjective,wholly unharmed,کاملاً آسیب ندیده,t
93220,adjective,"lacking in schooling; ""untaught people whose verbal skills are grossly deficient""; ""an untutored genius""; ""uneducated children""","بی آموزش؛ ""افراد بی سرپرست که مهارتهای کلامی آنها به شدت کم است""؛ ""یک نبوغ تربیت نشده""؛ ""بچه های تحصیل نکرده""",t
93221,adjective,"not consistent with the methods or principles of science; ""an unscientific lack of objectivity""","با روش ها یا اصول علمی سازگار نیست؛ ""کمبود بی طرفی غیر علمی""",t
93222,adjective,based on theories and methods erroneously regarded as scientific,مبتنی بر نظریه ها و روش هایی که به اشتباه علمی تلقی می شود,t
93223,adjective,"showing unselfish interest in the public welfare; ""a public-spirited citizen""","نشان دادن علاقه غیرخودخواهانه به رفاه عمومی؛ ""یک شهروند با روحیه جمع گرا""",t
93224,adjective,willing to deprive yourself,مایلید به محروم کردن خود,t
93225,adjective,showing lack of self-interest,نشان دهنده ی نبودن غرض شخصی,t
93226,adjective,"wearing stockings; ""walks about in his stockinged feet""","جوراب ساق بلند پوشیدن؛ ""با پاهای جوراب دارش راه می رود""",t
93227,adjective,"spoiled through incompetence or clumsiness; ""a bungled job""","از طریق بی کفایتی یا ناشیانه خراب شده؛ ""یک کار سرسری""",t
93228,adjective,"clumsy and unskilled; ""a big stupid lubberly fellow""","ناشیانه و غیرماهر ؛ ""یک شخص گنده احمق بی دست و پا""",t
93229,adjective,"deficient or lacking in some skill; ""he's weak in spelling""","کمبود یا فاقد مهارت؛ ""او در املا ضعیف است""",t
93230,noun,a disposition to be distant and unsympathetic in manner,تمایل به دور بودن و رفتار غیر همدلانه,t
93231,noun,characterized by a lack of openness (especially about one's actions or purposes),مشخص شده توسط عدم گشودگی (به ویژه در مورد اقدامات یا اهداف شخص),t
93232,adjective,"not disposed to seek company; ""a lonely ungregarious person""","عدم تمایل به مصاحبت با دیگران؛ ""یک شخص غیر اجتماعی تنها""",t
93233,adjective,"not desired; ""an undesired result""","ناخواسته؛ ""یک نتیجه ناخواسته""",t
93234,adjective,eaten away as by acid or oxidation,خورده شده با اسید یا توسط اکسایش,t
93235,adjective,"outside the bounds of legitimate or ethical business practices; ""wildcat currency issued by irresponsible banks""; ""wildcat stock speculation""; ""a wildcat airline""; ""wildcat life insurance schemes""","خارج از مرزهای کسب و کار مشروع یا اخلاقی؛ ""پول غیرمجاز صادر شده توسط بانک های غیرمسئول""؛ ""احتکار سهام غیرمجاز""؛ ""یک شرکت هواپیمایی غیرمجاز""؛ ""طرح های بیمه زندگی غیرمجاز""",t
93236,adjective,being where earthquake waves arrive simultaneously,بودن در جایی که امواج زلزله به طور همزمان می رسند,t
93237,adjective,unstable by being overloaded at the top,ناپایداری به دلیل بار اضافی در بالا,t
93238,adjective,"(of structures or institutions) having lost stability; failing or on the point of collapse; ""a tottering empire""","(ساختار ها یا سازمان ها) از دست دادن ثبات؛ شکست خورده یا در حال سقوط؛ ""یک امپراتوری متزلزل""",t
93239,adjective,"explosively unstable; ""a volcanic temper""","ناپایداری به حد انفجار؛ ""خوی آتشفشانی""",t
93240,adjective,unsteady in speech or action,ناپایداری در گفتار یا عمل,t
93241,adjective,shining unsteadily,درخشش ناپایدار,t
93242,adjective,"having unpredictable ups and downs; ""fluctuating prices""","داشتن فراز و نشیب غیر قابل پیش بینی؛ ""نوسان قیمت""",t
93243,adjective,shaking convulsively or violently,لرزش شدید و متشنج,t
93244,adjective,"(of sound) fluctuating unsteadily; ""a low-pitched wobbling sound""","(از صدا) نوسان ناپایدار؛ ""یک صدای لرزان بم""",t
93245,adjective,"not firmly or solidly positioned; ""climbing carefully up the unsteady ladder""; ""an unfirm stance""","در حالت محکم یا سخت قرار نگرفته است؛ ""بدقت بالا رفتن از نردبان ناپایدار""؛ ""موضع ناپایدار""",t
93246,adjective,not emphasized,تأکید نشده,t
93247,adjective,"lacking knowledge gained by study often in a particular field; ""is unstudied in Latin as he is in may other matters""","فاقد دانش حاصل از مطالعه زیاد در یک زمینه خاص؛ ""مانند خیلی چیزهای دیگر لاتین را هم بلد نیست""",t
93248,adjective,"beaten or overcome; not victorious; ""the defeated enemy""","مغلوب یا چیره شده؛ پیروز نشده؛ ""دشمن شکست خورده""",t
93249,adjective,"tried unsuccessfully; ""attempted murder""","تلاش ناموفق؛ ""اقدام به قتل""",t
93250,adjective,doomed to extinction,محکوم به نابودی,t
93251,adjective,lacking resources (or any prospect of resources),فقدان منابع (یا هر گونه چشم انداز منابع),t
93252,adjective,"having acquired or gained nothing; ""the returned from the negotiations empty-handed""","چیزی بدست نیاوردن یا سود نکردن؛ ""بازگشت از مذاکرات با دست خالی""",t
93253,adjective,"unable to meet financial obligations; ""a failing business venture""","ناتوان در انجام تعهدات مالی؛ ""یک فعالیت تجاری ناموفق""",t
93254,adjective,"certain to end in failure and disappointment; ""a no-win situation""","مطمئناً به شکست و ناامیدی ختم می شود؛ ""یک موقعیت بدون برد""",t
93255,adjective,"acting to defeat its own purpose; ""it is self-defeating...to ignore the progress of events""","اقدام برای شکست هدف خود؛ ""این خود شکننده است ... نادیده گرفتن پیشرفت رویدادها""",t
93256,adjective,"of persons; marked by failure to realize full potentialities; ""unfulfilled and uneasy men""; ""unrealized dreams and ambitions""","مربوط به افراد؛ با عدم توانایی برای دریافتن تمام پتانسیل مشخص میشود؛ ""مردان ناراضی و ناآرام""؛ ""رویاها و جاه طلبی های تحقق نیافته""",t
93257,adjective,not one of the first three in a race or competition,یکی از سه نفر اول یک مسابقه یا رقابت نیست,t
93258,adjective,"having no wins; ""the team had a very disappointing winless season""","بدون بردن؛ ""تیم یک فصل بدون برد بسیار ناامید کننده داشت""",t
93259,adjective,having value that is not acknowledged,داشتن ارزشی که تصدیق نشده باشد,t
93260,adjective,"marked by an absence of due or proper care or attention to detail; not concerned with cleanliness; ""unfastidious in her dress""","با عدم وجود دقت کافی یا توجه دقیق به جزئیات مشخص میشود؛ نگران پاکیزگی نیستند؛ ""لباس مناسبش نیست""",t
93261,adjective,"filled or scattered with a disorderly accumulation of objects or rubbish; ""the storm left the drivewaylittered with sticks nd debris""; ""his library was a cluttered room with piles of books on every chair""","پر یا پراکنده با تجمع بی نظم اشیا یا زباله؛ ""طوفان مسیر رانندگی را با چوب و بقایای خود رها کرد""؛ ""کتابخانه او یک اتاق آشفته بود و روی هر صندلی انبوهی از کتابها""",t
93262,adjective,"lacking neatness or order; ""the old man's scraggly beard""; ""a scraggly little path to the door""","فاقد نظافت یا نظم؛ ""ریش کم پشت پیرمرد ""؛ "" یک مسیر کوچک ناپاک به درب """,t
93263,adjective,"not tried or tested by experience; ""unseasoned artillery volunteers""; ""still untested in battle""; ""an illustrator untried in mural painting""; ""a young hand at plowing""","تجربه و آزمایش نشده است؛ ""داوطلبان بی تجربه توپخانه""؛ ""هنوز در جنگ آزمایش نشده""؛ ""یک تصویرگر که در نقاشی دیواری امتحان نشده است""؛ ""دستی جوان در شخم زدن""",t
93264,adjective,"infrequently exposed to; ""feet unused to shoes""","به ندرت در معرض قرار گرفتن؛ ""پاهایی که به کفش عادت ندارد""",t
93265,adjective,"out of the ordinary; ""out-of-the-way information""","خارج از حالت عادی؛ ""اطلاعات غیر معمول""",t
93266,adjective,"not customary or usual; ""an unaccustomed pleasure""; ""many varieties of unaccustomed foods""; ""a new budget of unaccustomed austerity""","عرفی یا معمول نیست؛ ""یک لذت غیر عادی""؛ ""بسیاری از انواع غذاهای غیر عادی""؛ ""بودجه جدید ریاضت اقتصادی غیر عادی""",t
93267,adjective,not having a coating of stain or varnish,بدون پوشش لکه یا لاک الکل,t
93268,adjective,"displaying or feeling no wariness; ""an unguarded remark""","عدم نمایش یا احساس هیچ گونه احتیاط؛ ""یک اظهار نظر بی دقت""",t
93269,adjective,with unreduced energy,با انرژی کاهش نیافته,t
93270,adjective,"not welcome; ""unwelcome publicity""","ناخوش آیند؛ ""تبلیغات ناخواسته""",t
93271,adjective,"of especially an attitude; ""gave grudging consent""; ""grudging acceptance of his opponent's victory""","به خصوص یک نگرش؛ ""رضایت کینه توزانه داد""؛ ""پذیرش کینه توزانه پیروزی حریف""",t
93272,adjective,"characterized by ascetic solitude; ""the eremitic element in the life of a religious colony""; ""his hermitic existence""","با خلوت زاهد مشخص می شود؛ ""اصل گوشه نشینی در زندگی یک مستعمره مذهبی""؛ ""وجود زاهدانه او""",t
93273,adjective,not mercenary; not influenced by financial gains,غیر مزدور؛ تحت تأثیر دستاوردهای مالی نیست,t
93274,adjective,"not deserving; ""the undeserving poor""","بی سزاوار؛ ""فقیر بی سزاوار""",t
93275,adjective,"not merited; ""unmerited treatment of a potentially fine subject""","شایسته نیست؛ ""درمان ناشایسته ی یک نمونه ی بالقوه خوب""",t
93276,adjective,"without merit; ""protect...from unmeritorious criticism""","بدون لیاقت؛ ""حمایت کنید ... در برابر انتقادات ناشایست""",t
93277,adjective,"based on custom rather than documentation; ""an unwritten law""; ""rites...so ancient that they well might have had their unwritten origins in Aurignacian times""- J.L.T.C.Spence","بر اساس عرف و نه مستندات؛ ""یک قانون نانوشته""؛ ""آداب و رسوم ... چنان باستانی که شاید ریشه نانوشته آنها از زمان اورینیاکیان بوده است"" - جی ال تی سی اسپنس",t
93278,adjective,"based on common law; ""a common-law right""","براساس قانون عادی؛ ""یک حق قانون مشترک""",t
93279,adjective,"(of e.g. celestial bodies) above the horizon; ""the risen sun"""," (مثلاً اجرام آسمانی) بالای افق؛ ""خورشید طلوع کرده""",t
93280,adjective,"heading in any direction that is conventionally up; ""upbound shipping lanes""","رفتن به هر جهتی که به طور متعارف بالا باشد؛ ""خطوط حمل و نقل به بالا""",t
93281,adjective,"directed up; ""the cards were face upward""; ""an upward stroke of the pen""","هدایت شده به سمت بالا؛ ""کارتها رو به بالا بودند""؛ ""یک ضربه رو به بالای قلم""",t
93282,adjective,"(usually followed by `on' or `for') in readiness; ""he was up on his homework""; ""had to be up for the game""","(معمولاً با ""روی"" یا ""برای"" دنبال می شود) در حالت آماده باش؛ ""مشغول نوشتن تکالیفش بود""؛ ""باید برای بازی آماده باشی""",t
93283,adjective,"open; ""the windows are up""","باز کن؛ ""پنجره ها بالا است""",t
93284,adjective,"above the surround or above the normal position; ""a raised design""; ""raised eyebrows""","بالاتر از محیط فراگیر یا بالاتر از موقعیت طبیعی؛ ""یک طرح برجسته""؛ ""ابروهای بالا رفته""",t
93285,adjective,"used up; ""time is up""","استفاده شده؛ ""وقت تمام است""",t
93286,verb,lift up or elevate,بلند کردن یا بالا بردن,t
93287,noun,piece of leather forming the front part of the upper of a shoe,تکه چرمی که قسمت جلویی بالای کفش را تشکیل می دهد,t
93288,noun,the class of people exerting power or authority,طبقه افرادی که قدرت یا اقتدار را اعمال می کنند,t
93289,adjective,"having been turned so that the bottom is no longer the bottom; ""an overturned car""; ""the upset pitcher of milk""; ""sat on an upturned bucket""","چرخانده شده به طوری که پایین دیگر پایین نیست؛ ""ماشین واژگون""؛ ""پارچ واژگون شیر""؛ ""روی سطل واژگون نشست""",t
93290,noun,an unexpected winner; someone who defeats the favorite competitor,یک برنده غیر منتظره؛ کسی که رقیب مورد علاقه خود را شکست می دهد,t
93291,noun,"a process of taking up or using up or consuming; ""they developed paper napkins with a greater uptake of liquids""","فرآیند جذب یا استفاده یا مصرف؛ ""آنها دستمال کاغذی هایی با قابلیت جذب بیشتر مایعات تولید کردند""",t
93292,noun,"a process of using up or consuming again; ""psychopharmacologists discovered that amine reuptake is a process that inactivates monoamine neurotransmitters""","فرآیند استفاده مجدد یا مصرف مجدد؛ ""متخصصان روانپزشکی کشف کردند که جذب مجدد آمین فرآیندی است که انتقال دهنده های عصبی مونوآمین را غیرفعال می کند""",t
93293,adjective,towards the side exposed to wind,از کنار در معرض باد,t
93294,adjective,"on the side exposed to the wind; ""the windward islands""","از کنار در معرض باد؛ ""جزایر بادخیز""",t
93295,noun,(Greek mythology) god of the heavens; son and husband of Gaea and father of the Titans in ancient mythology,(اساطیر یونان) خدای آسمانها؛ پسر و شوهر گایا و پدر تایتان ها در اساطیر باستان,t
93296,adjective,"located in or characteristic of a city or city life; ""urban property owners""; ""urban affairs""; ""urban manners""","واقع در یا مشخصه یک شهر یا زندگی شهری؛""صاحبان املاک شهری""؛ ""امور شهری""؛ ""اداب شهری""",t
93297,adjective,being or having the customs or manners or dress of a city person,بودن یا داشتن سنت یا آداب و رسوم یا پوشش شخصی شهری,t
93298,adjective,resembling a city,شبیه یک شهر,t
93299,adjective,"made urban in nature; taking on urban characteristics; ""the urbanized Eastern states""","طبیعت شهری شده؛ به دست آوردن خصوصیات شهری؛ ""کشورهای شهری شده ی شرقی""",t
93300,noun,the social process whereby cities grow and societies become more urban,روند اجتماعی که به موجب آن شهرها رشد می کنند و جوامع شهری تر می شوند,t
93301,noun,the chief solid component of mammalian urine; synthesized from ammonia and carbon dioxide and used as fertilizer and in animal feed and in plastics,جز اصلی جامد ادرار پستانداران؛ از ترکیب آمونیاک و دی اکسید کربن درست شده و به عنوان کود و در خوراک دام و پلاستیک استفاده می شود,t
93302,noun,a state of critical urgency,حالت اضطراری بحرانی,t
93303,noun,"urgently demanding attention; ""he pressed his demand with considerable instancy""","خواستار توجه فوری؛ ""او با فوریت قابل توجهی روی تقاضای خود پافشاری کرد""",t
93304,noun,a plumbing fixture (usually attached to the wall) used by men to urinate,لوله کشی ثابت (معمولاً به دیوار متصل است) که توسط مردان برای ادرار استفاده می شود,t
93305,noun,passing small stones with the urine,دفع سنگهای کوچک با ادرار,t
93306,noun,excessive urination at night; especially common in older men,شب ادراری بیش از حد؛ به خصوص در مردان مسن شایع است,t
93307,noun,production of an abnormally small amount of urine,تولید مقدار غیر طبیعی کم ادرار,t
93308,noun,a large vase that usually has a pedestal or feet,یک گلدان بزرگ که معمولاً یک پایه یا پا دارد,t
93309,noun,an urn in which coffee is made and kept hot,ظرفی که در آن قهوه درست و گرم می شود,t
93310,noun,an urn in which tea is brewed and from which it is served,کوزه ای که چای در آن دم می شود و با آن سرو می شود,t
93311,noun,a sensation of having been stung by nettles,احساس گزیده شدن با گزنه,t
93312,adjective,"capable of being put to use; ""usable byproducts""","قابلیت استفاده شدن؛ ""محصولات جانبی قابل استفاده""",t
93313,noun,"a particular service; ""he put his knowledge to good use""; ""patrons have their uses""","یک سرویس خاص؛ ""او دانش خود را به خوبی استفاده کرد""؛ ""مشتری ها استفاده های خود را دارند""",t
93314,adjective,"having utility often to the exclusion of values; ""plain utilitarian kitchenware""","سودمند ولی کم ارزش؛ ""ظروف آشپزخانه ساده و مفید""",t
93315,adjective,capable of being put to a profitable or practical use,قابل استفاده سودمند یا عملی,t
93316,adjective,not capable of being used,غیر قابل استفاده,t
93317,noun,the ultimate user for which something is intended,کاربر نهایی که چیزی برای آن در نظر گرفته شده است,t
93318,noun,someone who holds property by usufruct,کسی که اموال را با حق انتفاع در اختیار دارد,t
93319,noun,"someone who puts to good use; ""not all organisms are utilizers of oxygen""; ""the social agencies and their utilizers both objected to the budget cut""","کسی که خوب استفاده می کند؛ ""همه موجودات از اکسیژن استفاده نمی کنند""؛ ""آژانسهای اجتماعی و بهره برداران آنها هر دو به کاهش بودجه اعتراض کردند""",t
93320,noun,"a person who wears or carries or displays something as a body covering or accessory; ""the wearer of the crown""","شخصی که چیزی را به عنوان پوشش بدن یا لوازم جانبی می پوشد یا حمل می کند یا به نمایش می گذارد.""صاحب تاج""",t
93321,noun,a person who uses something or someone selfishly or unethically,شخصی که از چیزی یا شخصی خودخواهانه یا غیراخلاقی استفاده می کند,t
93322,noun,an exorbitant or unlawful rate of interest,نرخ گزاف یا غیرقانونی بهره,t
93323,noun,the act of lending money at an exorbitant rate of interest,عمل قرض دادن پول با نرخ گزاف بهره,t
93324,noun,utensils made with copper,ظروف ساخته شده با مس,t
93325,noun,the smooth muscle forming the wall of the uterus,عضله صاف که دیواره رحم را تشکیل می دهد,t
93326,noun,a public utility that provides telephone service,یک صنعت همگانی که خدمات تلفنی را ارائه می دهد,t
93327,noun,a public utility that provides electricity,یک سرویس عمومی است که برق را تأمین می کند,t
93328,noun,a public utility that provides water,یک سرویس عمومی که آب را تأمین می کند,t
93329,noun,a public utility that provides gas,یک سرویس عمومی که گاز را تأمین می کند,t
93330,noun,a public utility providing local transportation,یک سرویس عمومی است که حمل و نقل محلی را ارائه می دهد,t
93331,noun,detergent quality; the quality of having cleansing power,کیفیت مواد شوینده؛ ویژگی داشتن قدرت پاک کنندگی,t
